Loss Ratio,TPR
1.38,0.077
1,0.1029
1.01,0.109
2.07,0.1603
1.75,0.238
1.03,0.2498
1.37,0.274
1.09,0.3491
1.05,0.3771
1.36,0.521
1.11,0.5451
1,0.6
2.1,0.61
1.36,0.727
1.25,0.7539
1.34,0.774
1.22,0.825
1.22,0.8252
1.22,0.854
2.36,1.136
1.08,1.149
17.57,1.256
1.46,1.275
1.36,1.501
1.29,1.511
1.87,1.6599
1.6,1.7642
3.07,1.903
1.45,1.9654
1.59,2.171
1.7,2.288
1.98,2.342
1.84,2.367
5.07,2.677
1.88,2.723
1.5,3.097
4.18,3.377
1.26,3.5911
26.1,3.766
1.29,3.8123
1.7,4.491
6.16,4.4912
9.16,4.828
26.1,6.319
1.2,6.436
870,9.1026
713.8,9.844
71,10.268
298.27,24.8789
